category,avg_lex_change
sports,0.1290145091333333
other,0.1262646204074074
education,0.11432032275
entertainment,0.139160700375
beauty,0.12657707633333334
social justice,0.13281132788888886
atlanta,0.11491573259999999
health,0.1159562565
religion,0.0888373385
politics,0.11618976541666666
